,Food,Location,Week,Month,Amt_bought,Amt_Consumed,Wastage
0,Beans,Globe,8,2,9.0,6.0,3.0
1,Parmesan cheese,Nue Vegan,7,2,2.5,0.1,2.4
2,Burger,Ike's,11,3,6.9,6.0,0.9
3,Drumsticks,Nue Vegan,7,2,2.1,0.2,1.9
4,Drumsticks,Nue Vegan,6,2,1.1,0.8,0.3
5,Parmesan cheese,Halal Guys,7,2,7.0,6.4,0.6
6,Burger,Flip kitchen,7,2,8.6,5.1,3.5
7,Fries,Flip kitchen,2,1,3.6,3.3,0.3
8,Chicken,Ike's,9,3,9.0,8.0,1.0
9,Beans,Halal Guys,4,1,3.5,1.9,1.6
10,Pork,Chick-fil-a,4,1,6.9,4.1,2.8
11,Tune,Southside,2,1,6.2,3.3,2.9
12,Beef,Ike's,11,3,4.2,1.0,3.2
13,Chicken,Southside,9,3,9.9,9.9,0.0
14,Tune,Chipotle,11,3,4.9,1.2,3.7
15,Beef,Ike's,6,2,7.4,1.6,5.8
16,Pizza,Flip kitchen,6,2,7.1,7.0,0.1
17,Burger,Akino sushi,7,2,3.2,0.4,2.8
18,Pizza,Southside,7,2,8.8,4.9,3.9
19,Pork,Nue Vegan,5,2,8.2,2.4,5.8
20,Salad,Flip kitchen,2,1,4.6,0.8,3.8
21,Beef,Halal Guys,5,2,4.0,3.8,0.2
22,Pizza,Halal Guys,9,3,5.6,1.1,4.5
23,Beef,Chick-fil-a,12,3,5.2,4.3,0.9
24,Pizza,Nue Vegan,8,2,2.0,0.1,1.9
25,Salad,Chick-fil-a,11,3,8.7,7.3,1.4
26,Pork,Halal Guys,12,3,2.1,1.9,0.2
27,Pork,Chick-fil-a,6,2,4.0,0.5,3.5
28,Parmesan cheese,Chick-fil-a,1,1,4.9,0.7,4.2
29,Burger,Halal Guys,6,2,9.6,1.6,8.0
30,Burger,Halal Guys,1,1,4.4,0.2,4.2
31,Fries,Flip kitchen,6,2,3.5,1.4,2.1
32,Burger,Akino sushi,10,3,5.4,2.7,2.7
33,Tune,Halal Guys,6,2,7.1,6.7,0.4
34,Drumsticks,Nue Vegan,12,3,1.7,1.2,0.5
35,Drumsticks,Halal Guys,2,1,9.8,4.7,5.1
36,Beef,Akino sushi,5,2,4.5,1.5,3.0
37,Fries,Flip kitchen,12,3,1.7,1.0,0.7
38,Pork,Chick-fil-a,4,1,2.1,1.4,0.7
39,Chicken,Flip kitchen,7,2,5.9,1.3,4.6
40,Chicken,Flip kitchen,12,3,2.9,0.6,2.3
41,Drumsticks,Southside,5,2,8.2,3.0,5.2
42,Beef,Ike's,3,1,1.9,1.4,0.5
43,Chicken,Ike's,7,2,1.4,0.7,0.7
44,Pork,Akino sushi,6,2,4.0,3.2,0.8
45,Parmesan cheese,Blaze pizza,8,2,2.8,0.4,2.4
46,Fries,Halal Guys,10,3,6.2,1.3,4.9
47,Fries,Blaze pizza,6,2,9.4,0.5,8.9
48,Burger,Halal Guys,8,2,9.6,7.0,2.6
49,Tune,Southside,8,2,3.4,3.3,0.1
50,Drumsticks,Southside,6,2,8.7,4.2,4.5
51,Salad,Chick-fil-a,2,1,3.6,2.6,1.0
52,Fries,Blaze pizza,10,3,2.6,0.9,1.7
53,Beef,Halal Guys,3,1,2.9,0.5,2.4
54,Drumsticks,Southside,2,1,9.9,2.4,7.5
55,Parmesan cheese,Southside,10,3,6.7,2.0,4.7
56,Tune,Blaze pizza,6,2,8.2,1.8,6.4
57,Salad,Akino sushi,6,2,5.0,1.1,3.9
58,Pork,Southside,8,2,7.0,0.3,6.7
59,Parmesan cheese,Globe,11,3,5.6,5.4,0.2
60,Parmesan cheese,Chipotle,2,1,5.9,5.0,0.9
61,Beans,Halal Guys,10,3,4.5,0.1,4.4
62,Beef,Akino sushi,9,3,1.1,0.4,0.7
63,Pizza,Chipotle,1,1,7.7,5.5,2.2
64,Tune,Chipotle,10,3,1.7,0.9,0.8
65,Tune,Chick-fil-a,9,3,6.2,3.0,3.2
66,Burger,Flip kitchen,8,2,2.8,0.3,2.5
67,Salad,Globe,7,2,7.5,4.5,3.0
68,Drumsticks,Blaze pizza,5,2,9.9,0.6,9.3
69,Chicken,Southside,2,1,9.2,3.2,6.0
70,Tune,Blaze pizza,11,3,9.4,0.5,8.9
71,Burger,Akino sushi,11,3,4.0,1.4,2.6
72,Drumsticks,Chipotle,9,3,7.2,5.5,1.7
73,Tune,Halal Guys,6,2,5.1,0.1,5.0
74,Burger,Flip kitchen,4,1,7.5,1.1,6.4
75,Tune,Nue Vegan,11,3,5.5,1.8,3.7
76,Burger,Southside,5,2,4.3,1.1,3.2
77,Drumsticks,Flip kitchen,2,1,6.4,4.5,1.9
78,Tune,Globe,6,2,3.7,0.8,2.9
79,Chicken,Globe,3,1,5.4,3.4,2.0
80,Tune,Blaze pizza,9,3,2.4,0.9,1.5
81,Parmesan cheese,Flip kitchen,10,3,1.2,1.1,0.1
82,Parmesan cheese,Akino sushi,10,3,9.5,6.0,3.5
83,Chicken,Ike's,12,3,3.2,1.2,2.0
84,Drumsticks,Akino sushi,5,2,1.7,0.5,1.2
85,Pizza,Blaze pizza,12,3,9.3,6.9,2.4
86,Tune,Ike's,3,1,6.6,3.9,2.7
87,Parmesan cheese,Globe,11,3,3.3,2.1,1.2
88,Beans,Nue Vegan,1,1,4.6,3.1,1.5
89,Pizza,Chick-fil-a,6,2,7.9,0.5,7.4
90,Drumsticks,Halal Guys,8,2,5.9,0.0,5.9
91,Beef,Akino sushi,5,2,9.7,9.5,0.2
92,Drumsticks,Halal Guys,9,3,2.3,1.0,1.3
93,Parmesan cheese,Ike's,6,2,2.0,1.6,0.4
94,Fries,Ike's,8,2,5.5,1.8,3.7
95,Pork,Chick-fil-a,7,2,4.0,1.4,2.6
96,Burger,Chick-fil-a,6,2,5.2,1.2,4.0
97,Drumsticks,Globe,8,2,7.5,3.9,3.6
98,Chicken,Blaze pizza,5,2,2.8,2.4,0.4
99,Tune,Globe,9,3,5.9,1.6,4.3
100,Chicken,Globe,7,2,8.4,5.5,2.9
101,Burger,Globe,11,3,7.8,3.6,4.2
102,Burger,Globe,3,1,5.8,2.2,3.6
103,Drumsticks,Ike's,12,3,5.1,1.6,3.5
104,Tune,Ike's,12,3,4.8,3.6,1.2
105,Salad,Nue Vegan,4,1,7.4,0.8,6.6
